categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47994740.07,10/3/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,44456920.01,9/4/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,44747444.88,9/7/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,52227739.35,9/23/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,50618466.33,10/19/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,46625337.55,9/30/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,44983014.65,9/1/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,50160131.1,10/16/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,46974327.86,9/20/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47937867.16,9/14/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,50644796.33,10/20/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,46472543.18,9/27/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,44908521.36,9/5/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,46770663.43,9/11/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,48576176.29,10/10/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,53485203.69,9/22/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,45458066.22,8/27/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,48074227.51,10/8/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47545134,9/12/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47709758.62,10/6/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47857838.78,10/9/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,45040781.22,8/25/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,49095679.86,9/17/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,45235145.65,9/2/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,50795947,10/13/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47745346.07,10/4/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,52191078.6,9/24/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,44690064.64,9/8/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47469946.15,10/7/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47669417.86,9/18/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,45503823.22,8/26/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47443641.23,9/21/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,45507208.92,8/29/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47597884.48,9/13/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,48563183.94,9/16/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47475607.86,9/19/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,45030464.65,8/31/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,47457559.79,10/2/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,46191332.3,9/29/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,46207311.39,9/10/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,49434698.78,10/12/2018,4
BLB BACHAT KHATA,22,NPR,BLB DEPOSIT,50610110.49,10/17/2018,4
