group,total,BANK_DATE
BLB DEPOSIT,45040781.22,8/25/2018
CALL DEPOSIT,5622666889,8/25/2018
CURRENT,2282510243,8/25/2018
FIXED DEPOSIT   ,42900540973,8/25/2018
MARGIN DEPOSIT ,392917140.8,8/25/2018
SAVING DEPOSIT,21360445213,8/25/2018
BLB DEPOSIT,45503823.22,8/26/2018
CALL DEPOSIT,5473300197,8/26/2018
CURRENT,2301637712,8/26/2018
FIXED DEPOSIT,42847279353,8/26/2018
MARGIN DEPOSIT ,393429565.8,8/26/2018
SAVING DEPOSIT,21382414675,8/26/2018
BLB DEPOSIT,45458066.22,8/27/2018
CALL DEPOSIT,5480588640,8/27/2018
CURRENT,2315078211,8/27/2018
FIXED DEPOSIT   ,42789772453,8/27/2018
MARGIN DEPOSIT ,399441565.8,8/27/2018
SAVING DEPOSIT,21376523259,8/27/2018
BLB DEPOSIT,45233194.41,8/28/2018
CALL DEPOSIT,5528504211,8/28/2018
CURRENT,2461236714,8/28/2018
FIXED DEPOSIT   ,42798548453,8/28/2018
MARGIN DEPOSIT ,390434565.8,8/28/2018
SAVING DEPOSIT,21428878183,8/28/2018
BLB DEPOSIT,45507208.92,8/29/2018
CALL DEPOSIT,5566094602,8/29/2018
CURRENT,2397933142,8/29/2018
FIXED DEPOSIT   ,42886535852,8/29/2018
MARGIN DEPOSIT ,411690782.6,8/29/2018
SAVING DEPOSIT,21398846175,8/29/2018
BLB DEPOSIT,45161910.65,8/30/2018
CALL DEPOSIT,5851840099,8/30/2018
CURRENT,2390532340,8/30/2018
FIXED DEPOSIT   ,42620644953,8/30/2018
MARGIN DEPOSIT ,404867232.1,8/30/2018
SAVING DEPOSIT,21393639647,8/30/2018
BLB DEPOSIT,45030464.65,8/31/2018
CALL DEPOSIT,5865971390,8/31/2018
CURRENT,2343596999,8/31/2018
FIXED DEPOSIT   ,42579829453,8/31/2018
MARGIN DEPOSIT ,427539646.6,8/31/2018
SAVING DEPOSIT,21437355905,8/31/2018
BLB DEPOSIT,44983014.65,9/1/2018
CALL DEPOSIT,6035713204,9/1/2018
CURRENT,2393440069,9/1/2018
FIXED DEPOSIT   ,42154861453,9/1/2018
MARGIN DEPOSIT ,427498646.6,9/1/2018
SAVING DEPOSIT,21445921342,9/1/2018
BLB DEPOSIT,45235145.65,9/2/2018
CALL DEPOSIT,6015551118,9/2/2018
CURRENT,2381611965,9/2/2018
FIXED DEPOSIT   ,42277173453,9/2/2018
MARGIN DEPOSIT ,460828767.6,9/2/2018
SAVING DEPOSIT,21445829668,9/2/2018
BLB DEPOSIT,45073369.65,9/3/2018
CALL DEPOSIT,6070260852,9/3/2018
CURRENT,2700141530,9/3/2018
FIXED DEPOSIT   ,42387774553,9/3/2018
MARGIN DEPOSIT ,465562431.5,9/3/2018
SAVING DEPOSIT,21367332299,9/3/2018
BLB DEPOSIT,44456920.01,9/4/2018
CALL DEPOSIT,6047966028,9/4/2018
CURRENT,2732231626,9/4/2018
FIXED DEPOSIT   ,42317434053,9/4/2018
MARGIN DEPOSIT ,469430174.1,9/4/2018
SAVING DEPOSIT,21447523679,9/4/2018
BLB DEPOSIT,44908521.36,9/5/2018
CALL DEPOSIT,5967919212,9/5/2018
CURRENT,2486860473,9/5/2018
FIXED DEPOSIT   ,42370172053,9/5/2018
MARGIN DEPOSIT ,462282850.1,9/5/2018
SAVING DEPOSIT,21473304667,9/5/2018
BLB DEPOSIT,43469088.88,9/6/2018
CALL DEPOSIT,6162915696,9/6/2018
CURRENT,2412076156,9/6/2018
FIXED DEPOSIT,42269300053,9/6/2018
MARGIN DEPOSIT ,480777387.5,9/6/2018
SAVING DEPOSIT,21539324064,9/6/2018
BLB DEPOSIT,44747444.88,9/7/2018
CALL DEPOSIT,6550744706,9/7/2018
CURRENT,2403277039,9/7/2018
FIXED DEPOSIT   ,42039464853,9/7/2018
MARGIN DEPOSIT ,480035887.5,9/7/2018
SAVING DEPOSIT,21548096733,9/7/2018
BLB DEPOSIT,44690064.64,9/8/2018
CALL DEPOSIT,6755726908,9/8/2018
CURRENT,2399590881,9/8/2018
FIXED DEPOSIT,41805554353,9/8/2018
MARGIN DEPOSIT ,479880687.5,9/8/2018
SAVING DEPOSIT,21550425698,9/8/2018
BLB DEPOSIT,45575817.64,9/9/2018
CALL DEPOSIT,6668031682,9/9/2018
CURRENT,2409618437,9/9/2018
FIXED DEPOSIT   ,41896561953,9/9/2018
MARGIN DEPOSIT ,457848860,9/9/2018
SAVING DEPOSIT,21572201185,9/9/2018
BLB DEPOSIT,46207311.39,9/10/2018
CALL DEPOSIT,6918276413,9/10/2018
CURRENT,2326335362,9/10/2018
FIXED DEPOSIT   ,41726755953,9/10/2018
MARGIN DEPOSIT ,492411662,9/10/2018
SAVING DEPOSIT,21620679684,9/10/2018
